"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SH2D1B",73.3101379516414,5.11651625864086,0.613963231574922,8.33358741290762,7.84288985722865e-17,1.34733004857331e-12
"CST3",155.316040653491,3.73232404899524,0.47806404669999,7.80716323421297,5.84894971177389e-15,5.02395535492818e-11
"TFEC",28.3149893542711,5.76176351786521,0.775955073499192,7.42538287929785,1.12454137165371e-13,6.43949874121304e-10
"LILRB4",107.878940609261,5.546778557314,0.790640133762425,7.01555400548478,2.2903957439958e-12,9.83667712152597e-09
"FPR3",57.2362682290738,5.25885130814675,0.753454937292046,6.97964940948867,2.95917579105273e-12,1.0167136182899e-08
"LYN",430.793171724243,2.74400320530892,0.398919009875298,6.87859725252676,6.04447797445651e-12,1.73063478538647e-08
"TYROBP",205.563305777998,3.85862614889759,0.563963316170201,6.84198074282739,7.81055903631745e-12,1.91682276692711e-08
"SLC1A7",135.646855073078,5.7775543357635,0.851984806536689,6.78128798945278,1.19109173221775e-11,2.55772060847109e-08
"CYBB",128.707482703007,4.10676243863329,0.608035519633959,6.75414890417189,1.4367613512906e-11,2.74245813931348e-08
"MYOF",35.9284378954018,4.4206862266574,0.657797352314005,6.72043785385617,1.81179295523442e-11,2.82952647072473e-08
"SPI1",118.47369548231,4.32673083147889,0.643662190890182,6.7220521769269,1.79182761251997e-11,2.82952647072473e-08
"CMKLR1",218.854214123101,3.51454083055255,0.527932233914693,6.65718174564134,2.79127948408245e-11,3.9959491880877e-08
"ITGAX",112.817739620437,4.62734165783291,0.700133094734636,6.60923143418433,3.86320372857111e-11,5.10507514254793e-08
"LILRB2",79.4818511404888,4.36399455070481,0.6672770718973,6.54000374731362,6.15172919371718e-11,7.5486111299191e-08
"SLC43A2",153.266859476204,1.8947818068121,0.290305930515206,6.52684498538985,6.71694988933835e-11,7.69269880992957e-08
"MPEG1",120.356062496691,3.98052824292656,0.628816599903351,6.33018950762173,2.44860276185911e-10,2.6290341778736e-07
"WDFY4",31.9889274152553,3.46649933055862,0.551523104723857,6.28532023566677,3.27178556676199e-10,3.30623554420025e-07
"FCGR2A",28.1106318565968,6.87431394926015,1.09986066214346,6.25016803116057,4.10011330339634e-10,3.91310257994699e-07
"FYN",10577.6623567862,-0.459748895001047,0.0744894664244159,-6.17199876800771,6.74320262185683e-10,6.09691988636203e-07
"TNS3",32.7135528430711,4.71911994900871,0.76707282542338,6.15211462667058,7.64565839181714e-10,6.56723827565133e-07
"CCL3",399.905977503322,3.33866804077524,0.545283047970483,6.12281649539922,9.19355557761206e-10,7.5207662508475e-07
"LRRC25",14.2535893469775,6.76950510676319,1.11277093272751,6.0834668732499,1.17611226760686e-09,9.18383302055378e-07
"ADGRG1",3367.29765598454,3.01278756555293,0.49775047762923,6.05280698052314,1.42343388880471e-09,1.00655797080963e-06
"CYP1B1",162.159224113426,3.87083267179674,0.63871739193506,6.06032138888476,1.35849829821406e-09,1.00655797080963e-06
"SARAF",15159.1033663176,-0.420507003443918,0.0695260740793326,-6.04819140174807,1.46480873567966e-09,1.00655797080963e-06
"TNFAIP2",243.465050531467,4.17784279547643,0.692860117604945,6.02985031079326,1.64111613996271e-09,1.08433592955459e-06
"PRDM1",1086.03032253549,0.890441862082114,0.152233624310835,5.84917994374215,4.94002442134939e-09,3.14313627905041e-06
"MARCKS",152.917549706883,4.05568115868025,0.694391491698735,5.84062622766095,5.2004964185556e-09,3.19069028479881e-06
"X3494",8.7918206411023,5.70931987686184,0.981068716173662,5.81949029944526,5.90273494286899e-09,3.49665805460504e-06
"BASP1",66.3180120331581,3.55548036577926,0.612996670684748,5.80016260415837,6.62506458007984e-09,3.79373281403972e-06
"SIGLEC1",107.041390764366,3.9128708364834,0.675818915448676,5.7898214255895,7.04612960565298e-09,3.90469227404879e-06
"SERPINA1",35.3991569791014,6.21914966344197,1.07522315290029,5.78405482310025,7.29211598241914e-09,3.91472688943682e-06
"MEF2C",13.6712177001992,3.01627418308997,0.522096323236847,5.77723697495118,7.59372986433909e-09,3.95311167695398e-06
"LILRB1",712.847449522678,3.13847758720116,0.545207681082144,5.75648087160442,8.58855089577455e-09,4.33949164230915e-06
"ANPEP",125.802874873389,3.97396395106302,0.694914906536092,5.71863391285106,1.07383870017891e-08,5.02743792968516e-06
"ADGRG3",23.00377049523,4.16188093393723,0.727955295696876,5.71722049216365,1.08280577098988e-08,5.02743792968516e-06
"LHFPL2",87.8067657174125,2.62640192632648,0.459210055080046,5.71939115285414,1.06906432581245e-08,5.02743792968516e-06
"SIRPA",94.781160616189,4.84760336187529,0.85486852736222,5.6705834952575,1.42311991655223e-08,6.43362553853969e-06
"CD300E",41.2144962045649,5.00025165694823,0.889684512983161,5.62025255467482,1.9067851177205e-08,8.18916538433012e-06
"TGFBR1",999.805720708325,0.77619813972293,0.13803260096832,5.62329575968127,1.87348236352342e-08,8.18916538433012e-06
"MYO1G",4928.62235743272,0.592004552449254,0.106741996028721,5.54612593425706,2.9206849795971e-08,1.22376700645119e-05
"GNLY",11462.5765815425,2.05561697005721,0.371659239167261,5.53091852273881,3.18558275408128e-08,1.2726773519154e-05
"X3514",92.5005618128153,3.14759253865932,0.568888220078793,5.53288401405705,3.15007785876105e-08,1.2726773519154e-05
"CD83",444.620251720079,1.83914039643499,0.332888509018613,5.52479387725624,3.29872653169901e-08,1.28792779745585e-05
"KIF18B",19.533915773456,5.17095670764035,0.938400543890864,5.51039397973935,3.58031409999704e-08,1.36680479830776e-05
"X3538",30.3255817686564,3.60484219153934,0.660035868393408,5.46158529280216,4.71901425298029e-08,1.7623466489554e-05
"TUBB",6385.83508657454,0.556769301771757,0.103162807648228,5.39699640271781,6.77657462289729e-08,2.47691011588835e-05
"TUBA1B",4241.86531610899,0.718728584390302,0.133658942785547,5.37733255561873,7.55974636804031e-08,2.70560172617843e-05
"CXCL9",79.3522422870116,3.65018225381364,0.679889370909031,5.36878852648225,7.92672993270515e-08,2.77904680640698e-05
"CXCL3",11.4162027410207,5.49291445337851,1.03549689031366,5.30461704401125,1.12909778849377e-07,3.87935418170691e-05
"FCER1G",134.111898022402,2.88607250759416,0.544592552440686,5.29950785162179,1.16115243125881e-07,3.91126227776375e-05
"X28914",7.21229914915419,5.37650729712785,1.01821211859582,5.28034109880994,1.28943609856931e-07,4.25985052640811e-05
"NRP1",16.7655002838008,4.48400324576575,0.853898284243453,5.2512147272184,1.51099408774675e-07,4.89761649686819e-05
"PLAU",37.8116881304013,2.77935965775758,0.529915393251352,5.24491209946653,1.56356852843901e-07,4.97417476852847e-05
"NDST1",49.6381166286142,1.8562454195788,0.354154227630833,5.2413476241592,1.59408082634592e-07,4.97903900287209e-05
"SIGLEC10",106.10467154747,2.12584131062302,0.40768656559642,5.21440118467736,1.84411973611938e-07,5.56355090029278e-05
"TLR8",11.2357515830479,5.74645899366251,1.10207591493283,5.21421339110996,1.84598871480696e-07,5.56355090029278e-05
"IFI30",755.724323379268,2.22835757777439,0.429926291837326,5.18311538531714,2.18209947177607e-07,6.26169336553876e-05
"MAFB",98.0690454154962,3.97115343592022,0.766232742172891,5.18269869890809,2.18698179132852e-07,6.26169336553876e-05
"GPNMB",27.559024990203,3.93705289556708,0.758852385371512,5.1881669893409,2.12374124220706e-07,6.26169336553876e-05
"NME8",107.518464292305,3.72554178735556,0.720863056509238,5.16816856366091,2.36399055853326e-07,6.65753996803981e-05
"SNX10",351.219056760033,0.981567064373932,0.190319747391765,5.15746304745465,2.50318230104829e-07,6.93583366930782e-05
"IDO1",192.585040828046,4.30897573351197,0.836057747860588,5.1539211789357,2.55095199901141e-07,6.95600069698683e-05
"JOSD1",3080.30884764101,-0.53219940096928,0.103324160886769,-5.15077399517919,2.5941364292795e-07,6.96322964353007e-05
"ADAP2",20.0878346459704,3.48285265188947,0.677304692799672,5.14222430305765,2.71504691066825e-07,7.04118936146143e-05
"LAIR1",1002.27945556989,1.02426106823758,0.199269285024142,5.14008502671894,2.74614172663086e-07,7.04118936146143e-05
"MSR1",15.5984589950357,4.56509594783723,0.887191615584901,5.1455580368933,2.66726721122255e-07,7.04118936146143e-05
"DAB2",19.5863082341969,3.67572758332979,0.720201597937839,5.10374816420089,3.32991343421284e-07,8.41243865975624e-05
"PRSS23",704.235528466663,2.70909535930768,0.531482543252505,5.09724240937222,3.44636896276346e-07,8.58045976975558e-05
"PIK3AP1",1016.7154723815,1.53251579566778,0.30135163848883,5.08547357947941,3.66709880209582e-07,8.99958433160059e-05
"X3501",22.330329738435,4.23638862664206,0.833742629752332,5.08117070600133,3.7511582706957e-07,9.07621801863119e-05
"LILRA1",6.98827548753311,5.17731095471631,1.02030966707255,5.07425453447963,3.89018042909579e-07,9.28186244325508e-05
"NAPSB",23.3527203166343,3.60568206478527,0.711707992415737,5.06623798412966,4.05754593684558e-07,9.54857282863975e-05
"CLEC4E",14.4214220363147,5.6613826741352,1.11929199945135,5.05800334221123,4.23669011533267e-07,9.83541885017567e-05
"CYP27A1",30.8935902860243,3.04914019910659,0.603737389846907,5.05044121895411,4.40790738900785e-07,0.000100964588047688
"PTGS1",11.0742364442907,2.87868719673178,0.57039966816518,5.0467897465504,4.49295313000249e-07,0.000101558476079359
"EFHD2",9430.70704920994,0.879546036567836,0.175023715597803,5.02529633520633,5.02655759224008e-07,0.000110706708816785
"UCK2",293.794519833904,0.589442344487292,0.117257162785568,5.02691972485489,4.98420869690362e-07,0.000110706708816785
"X90011",39.9096353387988,3.99484749302822,0.795479348191127,5.02193740429876,5.11528556524219e-07,0.00011123479838645
"OSBPL5",870.789130267359,1.03230495279374,0.20613762203464,5.00784351058569,5.50432575113037e-07,0.000118198515098336
"FCGR3A",885.83726233032,2.46713817837502,0.494293141535453,4.99124501446894,5.99913405191758e-07,0.000126429583253283
"PKMYT1",26.7573188867587,3.41387522264889,0.684129711930614,4.99009933805527,6.03482497629034e-07,0.000126429583253283
"TMCC3",225.741883167379,1.69179843583921,0.340723951759526,4.96530527749115,6.85930857590533e-07,0.00014197115906684
"B4GALT5",1628.30809181812,0.856089958443226,0.172670118849197,4.95795082640154,7.12405878692047e-07,0.000145695483214889
"KIR3DL1",109.424513264347,3.8201499416783,0.772205123842159,4.94706629589672,7.53403226582824e-07,0.000152267223876074
"X3507",201.686106987832,2.34564223552551,0.476186613270186,4.92588865406555,8.3977810881081e-07,0.000164018769777104
"SEMA6B",72.0995842482182,4.30108025040645,0.873175297249809,4.92579240841252,8.40191614202525e-07,0.000164018769777104
"HLA.DQA1",219.2250700363,2.01256385948529,0.408413737249152,4.92775750649526,8.31787600880098e-07,0.000164018769777104
"SERPING1",68.1389253329446,4.3883884153972,0.895680542209324,4.89950178505901,9.60799775295446e-07,0.000185455947638207
"ADGRG5",737.787010775854,1.42541684346807,0.291193719339195,4.89508100209979,9.82652448214782e-07,0.00018756651564313
"HLA.DRA",1093.01272100153,1.88365742020992,0.385430920392109,4.8871466209655,1.02307903001964e-06,0.000193137084139641
"OLR1",10.3178136671057,6.41010591855396,1.31389192223235,4.87871628563096,1.06778529328992e-06,0.000197454490730508
"NCR1",170.961388200396,2.2393505868128,0.459024068379209,4.87850363646472,1.06893693683784e-06,0.000197454490730508
"TCF4",40.924559107584,2.22955725237678,0.458117357734603,4.86678187310337,1.13430102028429e-06,0.00020729954497302
"TLR4",15.8952544957827,4.65988881111581,0.962054862842324,4.84368302796006,1.27454204226341e-06,0.000230477449937297
"P2RY10",2140.12972891889,-0.501707498450881,0.10370312976405,-4.83792051013684,1.3120459022909e-06,0.000234787880785993
"CTSH",431.044412982754,1.12482180868089,0.232624339631154,4.83535734250507,1.3290666173172e-06,0.000235381808442188
"CX3CR1",2765.67199832107,2.66275730431987,0.553712989206686,4.80891248033544,1.51753624423573e-06,0.000263330859997228
"DAPK1",24.8398771187367,3.12740833726412,0.650127557562542,4.81045342700038,1.50588289900831e-06,0.000263330859997228
"BANK1",15.231554149423,2.67259496444295,0.556316242957316,4.80409299256791,1.55454571951813e-06,0.00026705540915602
